ECC,PCI,EFR,SRLN,FUN,ETP,EPD,ETP Pfd,MPLX,BXMT,LTSF,TBC,WRB.PRD,Brazil,Argy,Argentina,TIP,T-Bill
1,,,,,,,,,,,,,,,,,
0.204503044,1,,,,,,,,,,,,,,,,
-0.080757301,-0.085600386,1,,,,,,,,,,,,,,,
-0.169348908,-0.035363926,-0.120801393,1,,,,,,,,,,,,,,
-0.220036842,-0.111252087,0.002230433,-0.103737677,1,,,,,,,,,,,,,
0.460532097,0.242997592,0.350799119,-0.146482223,-0.205941448,1,,,,,,,,,,,,
-0.060958976,0.221686416,-0.125025297,-0.074009003,-0.335272491,0.121178318,1,,,,,,,,,,,
0.498094372,0.293077624,0.250235819,0.21708456,-0.186252004,0.622382822,-0.200408595,1,,,,,,,,,,
0.095265376,0.229125308,0.014457587,0.01995414,-0.238722775,0.444753999,0.332827096,0.157069244,1,,,,,,,,,
0.310291645,0.073206764,0.12045037,-0.170819348,-0.072030848,0.401548651,-0.171270617,0.296485515,0.293264885,1,,,,,,,,
0.108061658,0.352233881,-0.029363836,-0.020072979,-0.034321384,0.06792089,0.082159048,0.115810172,-0.068845396,-0.005472366,1,,,,,,,
0.037004076,0.030538799,-0.084520783,-0.589863088,-0.032631103,0.004791615,0.112622309,-0.084926421,-0.225880736,-0.132283985,0.228035215,1,,,,,,
0.111867252,0.120983447,-0.009750787,0.062160507,-0.09347198,0.306566791,0.177592526,0.225004833,0.128318121,0.040635107,0.249703426,0.099063249,1,,,,,
0.052443351,0.334816108,-0.090684922,0.180743563,0.026818614,0.056281538,-0.101592073,0.04037031,0.21450936,0.454521245,-0.0057919,-0.497454916,-0.035663527,1,,,,
0.123480672,0.258630191,0.000554867,-0.018109562,0.119091422,0.074883073,-0.00718772,0.067483105,-0.046148889,0.120345686,0.07092636,-0.018182454,0.014593584,0.306804587,1,,,
0.126294955,0.135359595,0.098235912,0.007512423,-0.099229601,0.119706555,0.151433135,-0.015245209,0.230072321,0.262547429,0.01100664,-0.394292108,-0.143954864,0.404388616,0.544118568,1,,
-0.022375801,0.053893276,-0.074802704,0.123616518,-0.086334759,0.15247264,-0.024640359,0.22842215,0.038738819,-0.048687563,0.025996762,-0.006569336,0.002033588,-0.12842159,-0.207189082,-0.13658835,1,
-0.078285144,0.120458629,-0.029191506,0.129343113,-0.018057903,0.077935994,0.246761797,0.081164804,-0.167206694,-0.164678634,0.054491968,0.125967498,0.039449299,-0.17800543,-0.179387081,-0.246987111,0.263087204,1
