ECC,PCI,EFR,SRLN,FUN,ETP,EPD,ETP Pfd,MPLX,BXMT,LTSF,TBC,WRB.PRD,Brazil,Argy,Argentina,TIP,T-Bill
0.006420813,0.001081747,-0.00031006,-0.000183213,-0.004198331,0.015311184,-0.000640582,0.003026223,0.001545732,0.001797779,0.001042873,9.56861E-05,0.000503717,9.8902E-05,0.001693974,0.000676129,-8.98122E-06,-1.68704E-05
0.001081747,0.004357745,-0.000270755,-3.15189E-05,-0.00174874,0.006655593,0.001919163,0.001466925,0.003062725,0.000349424,0.002800444,6.5056E-05,0.000448792,0.000520184,0.00292296,0.000596992,1.78208E-05,2.13855E-05
-0.00031006,-0.000270755,0.002295825,-7.81485E-05,2.54475E-05,0.006973997,-0.000785614,0.000909103,0.000140271,0.0004173,-0.000169452,-0.000130688,-2.62541E-05,-0.000102264,4.55167E-06,0.000314477,-1.79535E-05,-3.76163E-06
-0.000183213,-3.15189E-05,-7.81485E-05,0.000182288,-0.000333505,-0.000820575,-0.000131041,0.00022223,5.45527E-05,-0.000166758,-3.26405E-05,-0.000257001,4.71609E-05,5.7433E-05,-4.18601E-05,6.77654E-06,8.36022E-06,4.69649E-06
-0.004198331,-0.00174874,2.54475E-05,-0.000333505,0.056698616,-0.020346227,-0.010469502,-0.003362649,-0.011510234,-0.001240155,-0.000984274,-0.000250739,-0.001250709,0.000150294,0.004854891,-0.001578615,-0.000102975,-1.15639E-05
0.015311184,0.006655593,0.006973997,-0.000820575,-0.020346227,0.172150295,0.006593571,0.019579692,0.037366105,0.012046567,0.003394081,6.41564E-05,0.007147719,0.000549591,0.005319249,0.003318338,0.000316889,8.69646E-05
-0.000640582,0.001919163,-0.000785614,-0.000131041,-0.010469502,0.006593571,0.017198228,-0.001992749,0.008838216,-0.001624037,0.001297664,0.000476618,0.001308745,-0.00031356,-0.000161379,0.001326819,-1.61864E-05,8.70302E-05
0.003026223,0.001466925,0.000909103,0.00022223,-0.003362649,0.019579692,-0.001992749,0.005748953,0.002411513,0.001625433,0.001057562,-0.000207798,0.000958682,7.20404E-05,0.000875996,-7.72283E-05,8.6755E-05,1.65506E-05
0.001545732,0.003062725,0.000140271,5.45527E-05,-0.011510234,0.037366105,0.008838216,0.002411513,0.041002294,0.004293736,-0.001678974,-0.001476004,0.001460093,0.00102228,-0.001599846,0.003112557,3.92927E-05,-9.10559E-05
0.001797779,0.000349424,0.0004173,-0.000166758,-0.001240155,0.012046567,-0.001624037,0.001625433,0.004293736,0.005228083,-4.76553E-05,-0.000308662,0.000165105,0.000773472,0.001489754,0.001268317,-1.7634E-05,-3.20228E-05
0.001042873,0.002800444,-0.000169452,-3.26405E-05,-0.000984274,0.003394081,0.001297664,0.001057562,-0.001678974,-4.76553E-05,0.014505403,0.00088628,0.001689966,-1.64174E-05,0.001462464,8.85663E-05,1.56836E-05,1.76501E-05
9.56861E-05,6.5056E-05,-0.000130688,-0.000257001,-0.000250739,6.41564E-05,0.000476618,-0.000207798,-0.001476004,-0.000308662,0.00088628,0.001041378,0.000179641,-0.000377813,-0.000100455,-0.000850102,-1.06191E-06,1.09323E-05
0.000503717,0.000448792,-2.62541E-05,4.71609E-05,-0.001250709,0.007147719,0.001308745,0.000958682,0.001460093,0.000165105,0.001689966,0.000179641,0.003157744,-4.71663E-05,0.000140399,-0.00054046,5.72418E-07,5.96181E-06
9.8902E-05,0.000520184,-0.000102264,5.7433E-05,0.000150294,0.000549591,-0.00031356,7.20404E-05,0.00102228,0.000773472,-1.64174E-05,-0.000377813,-4.71663E-05,0.00055391,0.001236215,0.000635868,-1.51398E-05,-1.12669E-05
0.001693974,0.00292296,4.55167E-06,-4.18601E-05,0.004854891,0.005319249,-0.000161379,0.000875996,-0.001599846,0.001489754,0.001462464,-0.000100455,0.000140399,0.001236215,0.029310654,0.006223792,-0.000177681,-8.25951E-05
0.000676129,0.000596992,0.000314477,6.77654E-06,-0.001578615,0.003318338,0.001326819,-7.72283E-05,0.003112557,0.001268317,8.85663E-05,-0.000850102,-0.00054046,0.000635868,0.006223792,0.004463727,-4.57114E-05,-4.43786E-05
-8.98122E-06,1.78208E-05,-1.79535E-05,8.36022E-06,-0.000102975,0.000316889,-1.61864E-05,8.6755E-05,3.92927E-05,-1.7634E-05,1.56836E-05,-1.06191E-06,5.72418E-07,-1.51398E-05,-0.000177681,-4.57114E-05,2.50913E-05,3.54415E-06
-1.68704E-05,2.13855E-05,-3.76163E-06,4.69649E-06,-1.15639E-05,8.69646E-05,8.70302E-05,1.65506E-05,-9.10559E-05,-3.20228E-05,1.76501E-05,1.09323E-05,5.96181E-06,-1.12669E-05,-8.25951E-05,-4.43786E-05,3.54415E-06,7.2327E-06
