Date,MOVE,10Yyr
1/1/1990,91.73,0.0031
1/2/1990,91.73,0.0051
1/3/1990,93.21,-0.0439
1/4/1990,95.09,0.0021
1/5/1990,85.28,-0.0119
1/8/1990,86.91,-0.0279
1/9/1990,83.53,0.0031
1/10/1990,84.53,-0.0049
1/11/1990,82.86,-0.0299
1/12/1990,87.31,-0.0519
1/15/1990,87.31,-0.0169
1/16/1990,95.37,-0.0829
1/17/1990,93.84,0.0051
1/18/1990,101.9,-0.1119
1/19/1990,95.76,0.0711
1/22/1990,101.65,-0.0379
1/23/1990,102.77,-0.0789
1/24/1990,109.14,-0.0169
1/25/1990,109.73,-0.0469
1/26/1990,110.08,-0.0509
1/29/1990,108.34,-0.0709
1/30/1990,112.71,0.0341
1/31/1990,105.5,0.0831
2/1/1990,105.39,0.0051
2/2/1990,103.31,-0.0809
2/5/1990,98.51,-0.0249
2/6/1990,99.43,-0.0609
2/7/1990,107.67,0.0441
2/8/1990,104.47,0.1071
2/9/1990,105.65,0.1391
2/12/1990,104.26,-0.0949
2/13/1990,106.11,0.0651
2/14/1990,102.26,-0.0529
2/15/1990,100.59,-0.0399
2/16/1990,94.63,0.0101
2/19/1990,94.63,-0.0649
2/20/1990,109,-0.1509
2/21/1990,110.89,0.0261
2/22/1990,110.03,0.0641
2/23/1990,107.16,0.0021
2/26/1990,111.62,0.0781
2/27/1990,107.3,0.0451
2/28/1990,105.72,-0.1009
3/1/1990,108.82,-0.0659
3/2/1990,106.51,0.0351
3/5/1990,106.45,-0.0849
3/6/1990,106.34,0.0691
3/7/1990,106.23,-0.0169
3/8/1990,107.16,0.0261
3/9/1990,106.44,-0.0779
3/12/1990,105.3,0.0021
3/13/1990,109.46,-0.0789
3/14/1990,107.1,0.0801
3/15/1990,103.56,-0.0239
3/16/1990,101.57,0.0861
3/19/1990,103.04,-0.0149
3/20/1990,103.03,0.0481
3/21/1990,101.37,-0.0309
3/22/1990,106.6,0.0361
3/23/1990,105.88,0.0071
3/26/1990,105.56,0.0261
3/27/1990,103.5,-0.0169
3/28/1990,98.67,0.0171
3/29/1990,102.21,-0.1189
